epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,412.794,2.2302,1.44667,1.11717,0.50412,0.48471,0.452,0.20189,2.46633,1.51241,1.21332,0.00063764,0.00063764,0.00063764
43,423.895,2.18323,1.39435,1.1275,0.51035,0.48515,0.45342,0.20452,2.45039,1.47793,1.20968,0.00063368,0.00063368,0.00063368
44,431.97,2.22496,1.40014,1.12526,0.51816,0.45925,0.45983,0.21796,2.4058,1.46027,1.19892,0.00062972,0.00062972,0.00062972
45,439.871,2.16782,1.35562,1.08694,0.5167,0.48668,0.474,0.24028,2.34205,1.43405,1.1788,0.00062576,0.00062576,0.00062576
46,462.286,2.17983,1.44681,1.12471,0.5167,0.48668,0.474,0.24028,2.34205,1.43405,1.1788,0.0006218,0.0006218,0.0006218
47,476.158,2.22424,1.42318,1.1167,0.48745,0.49119,0.4737,0.24014,2.36906,1.49547,1.1788,0.00061784,0.00061784,0.00061784
48,485.81,2.21508,1.38823,1.12694,0.49037,0.45594,0.45398,0.21491,2.47085,1.61005,1.2053,0.00061388,0.00061388,0.00061388
49,493.658,2.17972,1.37623,1.15022,0.4262,0.50371,0.44844,0.19656,2.5381,1.62357,1.23769,0.00060992,0.00060992,0.00060992
50,502.104,2.17327,1.3957,1.13477,0.43687,0.5266,0.45405,0.19984,2.49128,1.5365,1.2356,0.00060596,0.00060596,0.00060596
51,512.276,2.19176,1.39294,1.09831,0.50743,0.499,0.46576,0.21251,2.40624,1.46717,1.2082,0.000602,0.000602,0.000602
52,520.327,2.19385,1.43326,1.11303,0.57733,0.46107,0.46353,0.2152,2.4055,1.48767,1.19961,0.00059804,0.00059804,0.00059804
53,528.418,2.20215,1.37547,1.09324,0.56966,0.46689,0.44917,0.21182,2.4319,1.52452,1.20391,0.00059408,0.00059408,0.00059408
54,536.03,2.15099,1.41243,1.12293,0.56966,0.46689,0.44917,0.21182,2.4319,1.52452,1.20391,0.00059012,0.00059012,0.00059012
55,544.458,2.16398,1.38457,1.1253,0.52266,0.47271,0.43748,0.20622,2.46785,1.54797,1.21877,0.00058616,0.00058616,0.00058616
56,551.931,2.15103,1.3909,1.11862,0.49896,0.48152,0.4329,0.20497,2.42238,1.52482,1.20033,0.0005822,0.0005822,0.0005822
57,564.144,2.1594,1.34443,1.09172,0.4781,0.49474,0.43969,0.21141,2.37375,1.53572,1.18155,0.00057824,0.00057824,0.00057824
58,574.311,2.15138,1.34211,1.10486,0.48705,0.5059,0.45038,0.21272,2.35543,1.53964,1.1764,0.00057428,0.00057428,0.00057428
59,582.802,2.15466,1.35743,1.08108,0.49434,0.51838,0.45539,0.20535,2.39449,1.52395,1.19286,0.00057032,0.00057032,0.00057032
60,594.425,2.13171,1.34053,1.08332,0.50518,0.51663,0.46184,0.20893,2.40803,1.48812,1.19327,0.00056636,0.00056636,0.00056636
61,603.24,2.09318,1.30307,1.09995,0.53136,0.501,0.47394,0.22359,2.38038,1.42242,1.18864,0.0005624,0.0005624,0.0005624
62,611.058,2.13323,1.33468,1.11669,0.53136,0.501,0.47394,0.22359,2.38038,1.42242,1.18864,0.00055844,0.00055844,0.00055844
63,618.873,2.15328,1.31192,1.08196,0.53015,0.53035,0.47891,0.23648,2.3592,1.40073,1.17718,0.00055448,0.00055448,0.00055448
64,627.009,2.11471,1.28656,1.10121,0.53693,0.49237,0.46923,0.23406,2.37436,1.42685,1.17828,0.00055052,0.00055052,0.00055052
65,637.001,2.09556,1.36702,1.09625,0.53327,0.49213,0.45576,0.21415,2.44952,1.50427,1.20843,0.00054656,0.00054656,0.00054656
66,646.524,2.08269,1.29876,1.07185,0.5048,0.51117,0.45024,0.20725,2.45002,1.51011,1.2142,0.0005426,0.0005426,0.0005426
67,654.579,2.15847,1.39899,1.1188,0.51361,0.49504,0.44856,0.19555,2.4548,1.51494,1.22308,0.00053864,0.00053864,0.00053864
68,662.296,2.08486,1.31394,1.08665,0.54427,0.51505,0.46001,0.21183,2.39201,1.47954,1.19636,0.00053468,0.00053468,0.00053468
69,669.989,2.06695,1.30159,1.07016,0.59198,0.50382,0.4751,0.22894,2.35977,1.44161,1.18399,0.00053072,0.00053072,0.00053072
70,677.67,2.14533,1.29123,1.07871,0.59198,0.50382,0.4751,0.22894,2.35977,1.44161,1.18399,0.00052676,0.00052676,0.00052676
